"nom","type","courte_description","source","condition","avantage","normal","url"
"Difformité (peau)","[Maléfique, Difformité]","Suite à de la scarification et autre mutilation volontaire, la peau du personnage s'est renforcée","Heroes of Horror","[[Difformité provoquée]]","Le personnage gagne un bonus de +1 à son armure naturelle.","","https://gemmaline.com/dons/dons-difformite--peau--1249.htm"
"Difformité (rachitique)","[Maléfique, Difformité]","Par le biais d’un jeûne délibéré et de certains agissements macabres, le personnage est devenu horriblement décharné. Il présente une apparence squelettique et son poids ne représente plus que la moitié de celui de la norme de son espèce.","Chapitres Interdits","[[Difformité provoquée]]","Le personnage bénéficie d’un bonus de difformité de +2 en Dextérité et est victime d’un malus de difformité de -2 en Constitution. De plus, il bénéficie d’un bonus de circonstances de +2 aux jets d’Évasion et d’Intimidation.","","https://gemmaline.com/dons/dons-difformite--rachitique--549.htm"
"Difformité (visage)","[Maléfique, Difformité]","En raison d’une automutilation délibérée, le personnage a acquis un visage hideux.","Chapitres Interdits","[[Difformité provoquée]]","Le personnage bénéficie d’un bonus de circonstances de +2 aux jets d’Intimidation et d’un bonus de difformité de +2 aux jets de Diplomatie lorsqu’il a affaire à des créatures maléfiques d’un type différent du sien.","","https://gemmaline.com/dons/dons-difformite--visage--550.htm"
"Difformité (yeux)","[Maléfique, Difformité]","Le personnage a creusé un trou dans son front pour tenter de s’ajouter un troisième œil, ou il a balafré l’un de ses yeux par des moyens surnaturels.","Chapitres Interdits","[[Difformité provoquée]]","Le personnage bénéficie d’un pouvoir surnaturel de détection de (’invisibilité utilisable 1 minute par jour.","","https://gemmaline.com/dons/dons-difformite--yeux--551.htm"
"Difformité provoquée","[Maléfique, Difformité]","Par la scarification, l’automutilation et l’abandon de soi aux forces ténébreuses, le personnage provoque volontairement la dégradation de son propre corps.","Chapitres Interdits","[[]]","Le personnage bénéficie d’un bonus de difformité de +2 aux jets d’Intimidation.","","https://gemmaline.com/dons/dons-difformite-provoquee-552.htm"
"Difformité résistante","[Maléfique, Difformité]","Le personnage profite de ses automutilations pour rendre son corps plus résistant.","Codex Maléfique","[[Difformité provoquée]]","Le personnage gagne 2 points de vie par dons de difformité (y compris celui-ci) qu'il possède.","","https://gemmaline.com/dons/dons-difformite-resistante-2182.htm"
"Difformité supérieure (draconique)","[Maléfique, Difformité]","A force de modifier son corps, le personnage lui a donné l'apparence d'un dragon. L'usage de moyens non-conventionnels pour le faire lui a aussi donner une parcelle des pouvoirs draconiques.","Codex Maléfique","[[Difformité (mains griffues)], [Difformité (peau)], [Difformité (dents)], [Difformité provoquée]]","Le personnage obtient le sous-type Sang-draconique. Il gagne de plus un bonus d malfaisance à ses jets de sauvegarde contre les effets de paralysie et sommeil égal à la moitié du nombre de ses dons de difformité. Enfin, il gagne une réduction de dégaâts X/magie où X est le nombre de dons dedifformité que le personnage possède.","","https://gemmaline.com/dons/dons-difformite-superieure--draconique--2191.htm"
"Difformité supérieure (squelettique)","[Maléfique, Difformité]","Le personnage est tellement décharné que des trous de formes dans son torse et ses bras entre ses os","Codex Maléfique","[[Difformité (mains griffues)], [Difformité (rachitique)], [Difformité provoquée]]","Le personnage gagne une réduction des dégâts (tranchant ou contondant) ainsi qu'une résistance au froid égale à son nombre de dons de difformités","","https://gemmaline.com/dons/dons-difformite-superieure--squelettique--2179.htm"
"Dilettante elfe","[Racial, Compétence]","A travers les longues années de sa vie, le personnage a eu l'occasion de faire un peu tout.","Races of the Wild","[[Elfes], [Int 13]]","Le personnage gagne un bonus de +1 à tout tests de compétence pour lesquels il ne possède pas de degré de maîtrise. De plus, il peut faire des tests innés de compétence qui nécessité normalement une formation.","","https://gemmaline.com/dons/dons-dilettante-elfe-1481.htm"
"Dilettante érudit","[Général, Multiclassage]","Le personnage mélange son savoir de par ses recherches et de par son expérience pour des résultats extraordinaires.","Codex Heroïque","[[Aptitude de classe de Inspiration], [Aptitude de classe de Connaissances occultes]]","Le personnage ajoute ses niveaux de classe d'archiviste et de factotum pour déterminer le nombre d'inspiration qu’il obtient au début de chaque rencontre ainsi que pour déterminer le nombre d'utilisation quotidienne ainsi que les pouvoirs de son aptitude de Connaissances occultes.
Par exemple, un archiviste 5/factotum 5 aura 5 points d'inspiration au début de chaque rencontre et pourra utiliser Connaissances occultes  6 fois par jour avec les effets tactiques, Puissance et Ennemi.","","https://gemmaline.com/dons/dons-dilettante-erudit-2020.htm"
"Dilettante spectaculaire","[Général]","Le personnage a compris que si quelques mouvement ésotériques pouvaient créer des effets magiques, c'est aussi le cas de al musique.","Codex Heroïque","[[Cha 13], [Degré de maîtrise de 6 en Représentation], [Aptitude de classe de Dilettante profane (2 sorts)]]","Le personnage peut choisir pour son aptitude de Dilettante profane des sorts de barde en plus de ceux de magiciens. Le DD de ces sorts est alors lié au Charisme et non plus à l'Intelligence.","Un factotum est limité aux sorts de la liste de magicien et le DD de ses sorts est toujours lié à l'Intelligence.","https://gemmaline.com/dons/dons-dilettante-spectaculaire-1667.htm"
"Diplomate accompli","[Ancestral]","Asako, compagne du premier Phénix, grande guérisseuse, diplomate et guerrière, est l'ancêtre du personnage.","Guide de l'orient","[[]]","Le personnage bénéficie d'un bonus de +2 aux jets de Diplomatie et sa valeur de Prestige est augmentée de 2 points.","","https://gemmaline.com/dons/dons-diplomate-accompli-1756.htm"
"Disciple des ténèbres","[Maléfique, Axiomatique]","Le personnage jure cérémonieusement fidélité à un archidiable. En récompense de cette loyauté, il acquiert un semblant de puissance.","Chapitres Interdits","[[]]","Une fois par jour, lors de l’exécution d’un acte maléfique, le personnage peut faire appel à l’influence de son tuteur diabolique pour bénéficier d’un bonus de chance de +1 à un unique jet de dés.","","https://gemmaline.com/dons/dons-disciple-des-tenebres-553.htm"
"Disciple du Royaume Lointain","[Général]","Le personnage est lié au Royaume Lointain, plan de la folie.","Codex Heroïque","[[]]","La folie du personnage le protège contre les effets mentaux. Il gagne un bonus de +1 contre les effets, sorts et facultés dotés du registre Mental.","","https://gemmaline.com/dons/dons-disciple-du-royaume-lointain-1213.htm"
"Disciple du soleil","[Divin]","Le personnage peut détruire les morts-vivants plutôt que de simplement les repousser.","Codex Divin","[[Alignement bon], [Aptitude de classe de Renvoi ou intimidation des morts-vivants]]","Lors d’un renvoi des morts-vivants, le personnage peut décider de dépenser deux utilisations quotidiennes de son pouvoir au lieu d’une. Les morts-vivants affectés sont alors détruits plutôt que repoussés.","","https://gemmaline.com/dons/dons-disciple-du-soleil-299.htm"
"Disciple profane","[Général]","Lorsqu’un personnage acquiert ce don, il doit choisir un dieu et un des domaines accessibles aux prêtres de ce dieu. Il peut alors lancer les sorts du domaine choisi en tant que sorts profanes.","Codex Divin","[[Degré de maîtrise de 4 en Connaissances (religion)], [Degré de maîtrise de 4 en Art de la magie], [Faculté de lancer des sorts profanes], [Même alignement que le dieu choisi]]","Les sorts de la liste du domaine choisi s’ajoutent à celle de la classe de lanceur de sorts profane du personnage. Dans le cas où celui-ci posséderait plusieurs classes pratiquant la magie profane, il doit choisir à laquelle s’applique le don et ne peut changer ce choix plus tard.Le personnage peut ensuite apprendre ces sorts de domaine profane selon la méthode habituelle pour sa classe (en les ajoutant dans son grimoire pour un magicien, à l’occasion d’un passage de niveau pour un ensorceleur et ainsi de suite). Pour préparer ou lancer un sort de domaine profane connu, le personnage doit avoir une valeur de Sagesse au moins égale à 10 + le niveau du sort. De même, le DD de sauvegarde contre les sorts de domaine profane est déterminé en utilisant la Sagesse du personnage, quelle que soit la caractéristique primordiale de sa classe de lanceur de sorts profanes.Chaque jour, il n’est possible de préparer et lancer qu’un seul sort de domaine profane de chaque niveau.","","https://gemmaline.com/dons/dons-disciple-profane-300.htm"
"Discipline","[Régional]","Le peuple du personnage est admiré pour sa détermination et son indéfectible résolution. Il est difficile de le distraire par l’intermédiaire d’un sort ou d’un coup.","Manuel des Joueurs de Faerûn","[[Aasimar[Mulhorande], Céladarin[Everska], Elfe de lune[Everska], Elfe des bois[Bois de Yuir], Elfe des étoiles[Bois de Yuir], Elfe du soleil[Everska], Genasi de terre[Mulhorande], Gnome des roches[Contrées du Mitan Occidentale], Gulgar[Outreterre (Griffe terre)], Halfelin pied-léger[Luiren], Humain[Aglarond], Humain[Cormyr], Humain[Expatrié shou], Humain[Shadovar], Humain[Thay], Reflet[Shadovar], Slyth[OutreTerre (Fluvilnistra)], Thri-Kreen[Shaar], Tieffelin[Mulhorande]]]","Le personnage bénéficie d’un bonus de +2 aux jets de Volonté et aux tests de Concentration.","","https://gemmaline.com/dons/dons-discipline-195.htm"
"Discours séduisant","[Général, Compétence]","Les interlocuteurs du personnage ressentent une envie irrépressible de croire à ses discours.","Manuel du Joueur de GemmalineD'Ombre et de Lumière","[[Persuasion], [Confident]]","Le DD des sorts et effets dépendant du langage du personnage augmente de 2.
De plus, le personnage obtient un bonus de +2 sur tous ses tests de Diplomatie .
		","","https://gemmaline.com/dons/dons-discours-seduisant-1571.htm"
"Discret","[Général, Compétence]","Le personnage sait passer inaperçu.","Manuel du Joueur","[[]]","Le personnage obtient un bonus de +2 sur tous ses tests de Déplacement silencieux  et Discrétion.
		","","https://gemmaline.com/dons/dons-discret-28.htm"
"Dispense de composantes matérielles","[Général]","Le personnage peut lancer des sorts sans se reposer sur des composantes matérielles.","Manuel du Joueur","[[]]","Le personnage peut lancer les sorts nécessitant une composante matérielle coûtant 1 po ou moins sans utiliser cette composante. (L’incantation provoque tout de même des attaques d’opportunité.) Le personnage doit fournir normalement les composantes matérielles dont le prix est supérieur à 1 po.","","https://gemmaline.com/dons/dons-dispense-de-composantes-materielles-29.htm"
"Doigts chanceux","[Chance]","La chance guide les mains du personnage quand celui-ci en a besoin","Complete Scoundrel","[[]]","Le personnage peut dépenser un jet de chance au prix d'une action immédiate pour relancer un jet de Crochetage, de Désamorçage ou d'Escamotage.
Le personnage gagne un jet de chance par jour.","","https://gemmaline.com/dons/dons-doigts-chanceux-961.htm"
"Doigts de fée","[Général, Compétence]","Le personnage a une exceptionnelle habileté manuelle.","Manuel du Joueur","[[]]","Le personnage obtient un bonus de +2 sur tous ses tests de Escamotage  et Maîtrise des cordes.
		","","https://gemmaline.com/dons/dons-doigts-de-fee-30.htm"
"Doigts leste","[Racial]","Le personnage peut emprunter un objet à une vitesse surprenante","Races of Ansalon","[[Kender], [Degré de maîtrise de 1 en Escamotage], [Dex 13]]","Le personnage peut réaliser un test d'escamotage au prix d'une action rapide.","Un test d'Escamotage est une action simple.","https://gemmaline.com/dons/dons-doigts-leste-1868.htm"
"Domaine de prédilection","[Général]","Les méandres subtils du pouvoir accordé par les dieux n’ont plus aucun secret pour le personnage.","Codex Divin","[[Accès au domaine choisi]]","Lorsque le personnage acquiert ce don, il doit également choisir un de ses domaines de prêtre. Il bénéficie alors d’un bonus de +1 au niveau de lanceur de sorts lorsqu’il lance un sort de la liste de ce domaine. Ce bonus s’applique pour percer l’éventuelle résistance à la magie de la cible, ainsi que pour les données variant selon le niveau (comme la durée, la portée ou les dégâts).Seuls les sorts effectivement lancés en tant que sort de domaine sont affectés ; si le sort appartient également à la liste générale de sa classe et qu’il le prépare sur un emplacement de sort général, il ne bénéficie pas du bonus.","","https://gemmaline.com/dons/dons-domaine-de-predilection-301.htm"
"Domaine supplémentaire","[Épique]","Le personnage gagne l'accès à un domaine supplémentaire.","Codex DivinCampagnes Légendaires","[[Sag 21], [Faculté de lancer des sorts divins de 9e niveau]]","Le personnage peut choisir un domaine supplémentaire parmi ceux proposés par son dieu. Il obtient le pouvoir accordé et peut choisir ses sorts de domaine de chaque niveau parmi ceux de sa liste.","","https://gemmaline.com/dons/dons-domaine-supplementaire-1603.htm"
"Dominateur mental duergar","[Racial]","Le personnage sait user de la force de son esprit pour s'imposer sur les faibles de caractère.","Races de Faerun","[[Nain gris]]","Le personnage bénéficie d'une puissance magique de +1 lorsqu'il se sert de sorts et de pouvoirs magiques de l'école d'Enchantement. Cela lui confère un bonus de +1 au niveau de lanceur de sorts pour déterminer les valeurs variables d'un sort et pour les tests de niveau de lanceur de sorts.
Il bénéficie également d'une puissance psionique de +1 pour ses pouvoirs psioniques et ses facultés de l'école de Télépathie. Cela lui confère un bonus de +1 au niveau de manifestation pour déterminer les valeurs variables d'une faculté et pour les tests de niveau de manifestation. Cela ne modifie pas le nombre maximum de point psi utilisable pour manifester une faculté,","","https://gemmaline.com/dons/dons-dominateur-mental-duergar-785.htm"
"Don de discernement","[Exalté]","Le personnage peut compter sur sa conscience pour éviter de commettre un acte maléfique.","Manuel des Joueurs de Faerûn","[[]]","Si le personnage prend le temps (action libre) de songer à l'action qu'il est sur le point d'entreprendre, il sait si celle-ci aura des conséquences néfastes sur son alignement et la relation qu'il entretient avec son dieu. Les informations glanées sont les mêmes que celles qu'offre un phylactère du croyant.","","https://gemmaline.com/dons/dons-don-de-discernement-706.htm"
"Don de la foi","[Exalté]","Le personnage est persuadé que la providence divine agit constamment dans le sens du Bien.","Chapitres Sacrés","[[Sag 13]]","Le personnage bénéficie d’un bonus de +2 aux jets de sauvegarde visant à résister à la terreur, au désespoir (comme le sort désespoir foudroyant) ou quelque autre effet mental similaire. Cela ne concerne cependant pas les effets de charme et de coercition (comme les sorts de charme-personne et de domination).","","https://gemmaline.com/dons/dons-don-de-la-foi-256.htm"
"Don de la grâce","[Exalté]","En leur conférant une partie de sa grâce divine, le personnage est capable d’améliorer les sauvegardes de ses alliés.","Chapitres Sacrés","[[Aptitude de classe de Grâce divine]]","Le personnage a le droit de renoncer à une partie du bonus de sauvegarde que lui confère le pouvoir de grâce divine afin d’en faire profiter autrui. Pour ce faire, il en sacrifie tout ou partie, jusqu’à concurrence de son bonus de Charisme. Il peut répartir ce bonus entre tous les alliés qu’il touche, jusqu’à un maximum de un par niveau. Par exemple, si votre personnage est un paladin de niveau 5 doté d’un bonus de Charisme de +3, celui-ci peut conférer un bonus de +1 aux sauvegardes de trois alliés, un bonus de +3 aux sauvegardes d’un allié, un bonus de +1 à deux alliés (ce qui lui permet de conserver un bonus de +1), ou procéder à quelque autre répartition de son bonus de +3. Ce partage de grâce divine dure une journée ou jusqu’à ce que le personnage le révoque (au prix d’une action libre).","","https://gemmaline.com/dons/dons-don-de-la-grace-257.htm"
"Don du Royaume Lointain","[Général]","Le personnage est un vaisseau pour le pouvoir de la folie.","Dragon Magazine #332","[[Disciple du Royaume Lointain]]","Le lien du personnage vers le Royaume Lointain lui permet d'utiliser les pouvoirs magiques suivants : berceuse, confusion mineure, hébètement. Chacun 1/jour avec un DD de 10 + niveau du sort + modificateur de Cha.","","https://gemmaline.com/dons/dons-don-du-royaume-lointain-1211.htm"
"Dos à la pierre","[Guerrier]","Le personnage connaît les techniques de combat souterrain. Il peut se protéger des dangers de plusieurs agresseurs en s'adossant a un mur.","Races de la Pierre","[[Formation au maniement des boucliers], [Combattant des cavernes]]","Lorsque le personnage manie un bouclier (au maniement duquel il est formé) et qu'un de ses cotés de son espace est entièrement en contact avec une paroi ou un mur, il ne peut être pris en tenaille.","","https://gemmaline.com/dons/dons-dos-a-la-pierre-642.htm"
"Dos au mur","[Général]","Le personnage est le meilleur quand la situation est la pire","Ravenloft - Player's Handbook","[[Bonus de base à l’attaque de +2]]","Le personnage gagne un bonus de circonstance de +2 à ses jets d'attaque et à sa CA lorsque ses points de vie sont inférieurs ou égaux au quart de ses points de vie maximum","","https://gemmaline.com/dons/dons-dos-au-mur-1930.htm"
"Double bouclier","[Général, Guerrier]","Le personnage sait se défendre efficacement avec un bouclier dans chaque main","Codex Heroïque","[[Formation au maniement des boucliers]]","Lorsque le personnage combat sur la défensive ou en situation de défense totale en portant deux boucliers, les bonus à la CA de ses boucliers (y compris les éventuels bonus d'altérations) se cumulent","Les bonus de bouclier à la CA ne se cumulent pas","https://gemmaline.com/dons/dons-double-bouclier-2326.htm"
"Double chakra","[Général]","Un des chakras du personnage peut supporter un influx d'incarnum supérieur à la normale.","Magic of Incarnum","[[Niveau 9 de modeleur d’âme]]","Quand ce don est sélectionné, le personnage doit choisir un de ses chakras. Deux amalgâmes du personnage peuvent être placés (et liés) à ce chakra simultanément. Cela compte comme deux liaisons.","Sans ce don, un chakra ne peut être occupé que par un seul amalgâme.","https://gemmaline.com/dons/dons-double-chakra-1030.htm"
"Double dorjé","[Général]","Le personnage sait sa battre avec deux dorjés à la fois.","Complete Psionic","[[Combat à deux armes], [Création de dorjés]]","Au prix d’une action complexe, le personnage peut activer un dorjé dans chacune de ses mains à conditions qu’elles soient libres. L’une de ses mains sera le dorjé primaire et l’autre main le dorjé secondaire. Chaque utilisation du dorjé secondaire fait perdre 2 points psi au lieu de 1.","","https://gemmaline.com/dons/dons-double-dorje-890.htm"
"Double frappe d’acier","[Général]","Grâce à une formation martiale très particulière, le personnage a appris à maîtriser un style de combat basé sur l'utilisation d'une arme inhabituelle pour les moines : la double lame.","Eberron - Univers","[[Maniement d’une arme exotique (Double-lame)], [Arme de prédilection (Double-lame)], [Aptitude de classe de Déluge de coups]]","Le personnage considère la double lame comme une arme de moine, ce qui lui permet de s'en servir pour réaliser des déluges de coups.","","https://gemmaline.com/dons/dons-double-frappe-d-acier-1127.htm"
"Double lien mystique","[Général]","Le personnage est capable de lier un lien avec deux armes à la fois.","Manuel du Joueur de Gemmaline","[[Sag 15], [Aptitude de classe de Lien mystique de l’arme (mod. sag)]]","Le personnage peut se lier à une seconde arme. L'aptitude de Lien mystique de l’arme est considéré comme d'un cran en-dessous pour la seconde arme.
par exemple, si le personnage applique son modificateur de Sagesse à l'arme principale liée, il n'appliquera que la moitié de ce bonus pour la seconde arme liée.
Si le personnage dispose de l'aptitude de Solidité du lien, le plein bonus de cette aptitude s'applique aux deux armes.","","https://gemmaline.com/dons/dons-double-lien-mystique-2117.htm"
"Double-feinte","[Général, Guerrier]","Le personnage sait attaquer en rythme son adversaire après l'avoir déstabiliser","E.N. Arsenal","[[Int 13], [Dex 15], [Arme de prédilection (une arme double)], [Combat à deux armes], [Science de la feinte], [Expertise du combat]]","Lorsque le personnage est équipé d'une arme double pour laquelle il dispose du don Arme de prédilection, il peut au prix d'une action complexe tenté une feinte. En cas de réussite, il peut immédiatement porté une attaque avec les deux têtes de son arme, chacune à son plus haut bonus de base à l'attaque. L'effet de la feinte s'applique aux deux attaques.
Les malus pour le combat à deux armes s'appliquent normalement","Feinter au combat est une action simple, ou une action de mouvement avec Science de la feinte, et ses effets ne s'appliquent qu'à la prochaine attaque.","https://gemmaline.com/dons/dons-double-feinte-2463.htm"
"Doublement d’attaques réflexes","[Général, Guerrier]","Le personnage exploite chaque erreur de ses adversaires.","Codex Drow","[[Dex 15], [Attaques réflexes]]","Lorsque le personnage rate son jet d'attaque pour une attaque d'opportunité, il peut immédiatement réaliser une seconde attaque avec un malus de -5 au jet d'attaque. Cette seconde attaque compte dans son nombre maximal d'attaque d’opportunité.
De plus, le personnage peut aussi dépenser une attaque d'opportunité de ce tour pour gagner un bonus d'aptitude de +4 à un jet de confirmation de critique.","","https://gemmaline.com/dons/dons-doublement-d-attaques-reflexes-2318.htm"
"Doué pour les langues","[Régional]","Le personnage possède un talent intuitif qui lui permet d'apprendre de nombreuses langues.","Races de Faerun","[[Céladarin[Everska], Elfe de lune[Everska], Elfe du soleil[Everska]]]","L'Intelligence du personnage est considérée comme étant de 4 points supérieure à sa valeur réelle pour ce qui est de déterminer le nombre de langues supplémentaires avec lesquelles il démarre. Il n'est par ailleurs pas limité dans son choix aux langues supplémentaires de sa région. La compétence Langues est considérée d'office comme une compétence de classe. De plus, il bénéficie d'un bonus de +1 à tous ses tests de Décryptage et de Psychologie.","","https://gemmaline.com/dons/dons-doue-pour-les-langues-778.htm"
"Drain d’esprit","[Embuscade, Psionique]","L'attaque sournoise du personnage peut diminuer les capacités mentales de son adversaire.","Complete Scoundrel","[[Doit disposer d’une réserve de points psi], [Aptitude de classe de Attaque sournoise (+2d6)]]","L'attaque sournoise du personnage inflige un affaiblissement temporaire d'un nombre de point psi égal au niveau de manifestation du personnage (minimum 1). Si cette attaque réduit à 0 le nombre de point psi de son adversaire, celui-ci perd aussi son éventuel focalisation psionique. Une créature qui n'a pas de point psi n'est pas affectée par ce don. Ce don ne peut être utilisé plus d'une fois par round sur une même créature.
Utiliser ce don réduit de 1d6 l'attaque sournoise.","","https://gemmaline.com/dons/dons-drain-d-esprit-1317.htm"
"Drow de haute naissance","[Racial]","Le personnage a appris à exploiter les pouvoirs magiques avancés que lui confère son noble héritage de drow.","Outre-Terre","[[Drow], [Bonus de base de Volonté de +2]]","Le personnage peut utiliser les pouvoirs magiques suivants : détection de la magie, détection du Bien et lévitation, 1 fois/jour. Niveau de lanceur de sorts égal au niveau global du personnage.
","","https://gemmaline.com/dons/dons-drow-de-haute-naissance-831.htm"
"Dur à cuire","[Général, Athlète]","Grâce à son obstination, le personnage reste conscient même lorsqu’il reçoit des coups qui devraient l’abattre.","Manuel du Joueur","[[Endurance]]","Lorsque le total de points de vie du personnage est compris entre –1 et –9, il se stabilise automatiquement. Le joueur n’a pas à lancer 1d100 chaque round pour savoir si son personnage perd 1 point de vie.Lorsque le total de points de vie du personnage est négatif, il peut choisir de se considérer comme hors de combat plutôt que mourant. Le joueur doit prendre cette décision dès que son personnage atteint un total de points de vie négatif (même si cela arrive en dehors de son tour de jeu). Si le personnage ne choisit pas cette option, il tombe aussitôt inconscient.Lorsqu’il utilise ce don, le personnage peut effectuer soit un déplacement simple, soit une action simple lors de son tour de jeu (mais pas les deux). Il est incapable d’accomplir une action complexe. Effectuer une action de mouvement n’aggrave pas ses blessures, mais s’il entreprend une action simple (ou toute autre action fatigante, y compris certaines actions libres comme lancer un sort à incantation rapide), le personnage subit 1 point de dégâts aussitôt après avoir accompli son action. Le personnage meurt immédiatement si son total de points de vie atteint –10.","Un personnage ne possédant pas ce don suit les règles habituelles et devient mourant et inconscient lorsque son total de points de vie est compris entre –1 et –9.","https://gemmaline.com/dons/dons-dur-a-cuire-31.htm"
"Dur à tromper","[Général]","Le personnage a un don inné pour reconnaître les mensonges et fourberies.","Dragon Magazine #317","[[]]","Le personnage gagne un bonus de +2 à ses jets de Volonté contre les effets et sorts d'Illusion.
De plus, le personnage obtient un bonus de +2 sur tous ses tests de Psychologie .
		","","https://gemmaline.com/dons/dons-dur-a-tromper-1688.htm"
"Ecclesiastique respecté","[Général]","Le personnage impose le respect au sein de la hiérarchie de son église.","Eberron - Univers","[[Degré de maîtrise de 6 en Connaissances (religion)]]","Le personnage ajoute Connaissances (folklore local) et Renseignements à sa liste de compétences de classe, ce qui illustre sa capacité à connaître les détails de toute communauté en côtoyant le clergé des églises qui y sont représentées.
De plus, si le personnage prend le don Prestige, il reçoit un bonus de +2 à sa valeur de Prestige.
","","https://gemmaline.com/dons/dons-ecclesiastique-respecte-1128.htm"
"Écho inéluctable","[Empreinte magique]","Ceux qui usent de mots de pouvoir à l’encontre du personnage entendent leur propre voix.","Les Arcanes Exhumées","[[Doit avoir été exposé à l’un des sorts suivants : plainte d’outre-tombe ou l’un des sorts de la famille mot de pouvoir]]","Quand le personnage est la cible d’un sort de la famille mot de pouvoir, celui qui prononce le mot de pouvoir est également affecté par le sort comme s’il se l’était lancé sur lui-même. De la même manière, quand le personnage se trouve dans la zone d’effet d’un sort de plainte d’outre-tombe, le jeteur de sorts responsable entend également la plainte et doit réussir un jet de Vigueur (DD égal à celui du sort) pour ne pas mourir.Ce don ne protège aucunement contre les effets des sorts de la famille mol de pouvoir et plainte d’outre-tombe, qui affectent le personnage normalement.","","https://gemmaline.com/dons/dons-echo-ineluctable-329.htm"
"Eclaboussure d’acide","[Réserve]","Le personnage canalise son énergie sous forme de gouttelettes d'acide","Manuel du Joueur de Gemmaline","[[Faculté de lancer des sorts de 2e niveau ou plus du registre acide]]","Aussi longtemps que le personnage a un sort d'acide du second niveau ou plus, il peut projeter des gouttelettes d'acide tout autour de lui. Les créatures adjacentes subissent 1d4 dégâts par tranche de 2 niveaux du plus haut niveau de sorts d'acide que le personnage peut lancer (2d4 avec un sort de niveau 3, 3d4 avec un de niveau 5, ...).
De plus, le personnage gagne un bonus de compétence de +1 à son niveau de lanceur de sort quand il lance des sorts d'acide","","https://gemmaline.com/dons/dons-eclaboussure-d-acide-1950.htm"
"Éclaireur de guérilla","[Général, Guerrier]","Le personnage sait parfaitement utiliser ses sens.","Heroes of Battle","[[]]","Le personnage gagne un bonus de +1 à ses jets d'initiative.
De plus, gagner un degré de maîtrise en Perception Auditive et Détection ne lui coûte qu'un seul point, même si il s'agit d'une compétence hors-classe. Le degré de maîtrise maximal demeure inchangé.","","https://gemmaline.com/dons/dons-eclaireur-de-guerilla-976.htm"
"Éclat sacré","[Divin]","Le personnage est capable d'émettre autour de lui une aura lumineuse divine apaisante.","Manuel du Joueur II","[[Niveau 9 de lanceur de sorts divins], [Aptitude de classe de Renvoi des morts-vivants]]","Au prix d'une action simple, le personnage peut dépenser une utilisation quotidienne de renvoi des morts-vivants pour s'entourer de lumière. Cette lumière éclaire sur un raton de 18 mètres centré sur le personnage, puis une luminosité faible sur 18 mètres. L'aura se déplace avec le personnage et annule temporairement l'effet des sorts et effet du registre de l'Obscurité de niveau 3 ou moins.
Toute créature non mauvaise à 18 mètres du personnage gagne un bonus de moral de +2 contre les effets de terreur, poison, maladie et mort. les créatures mauvaises à 18 mètres du personnage subissent un malus de -2 contre les effets de terreur.
L'effet de ce don dure 10 minutes.","","https://gemmaline.com/dons/dons-eclat-sacre-1966.htm"
"École du rapace","[Tactique]","Le personnage a appris des techniques d'arts martiaux inspirées par les oiseaux de proie.","Codex Martial","[[Degré de maîtrise de 5 en Saut], [Sag 13], [Bonus de base à l’attaque de +6]]","Le don École du rapace donne accès aux trois manœuvres tactiques suivantes.
Piqué de l'aigle. Pour utiliser cette manœuvre, le personnage doit charger un adversaire ou sauter sur lui d'au moins 3 mètres de hauteur (voir la page 84 du Manuel des Joueurs). Il peut faire un test de Saut de DD 15 ou 25 à la fin de son mouvement (et avant l'attaque). S'il réussit ce test, il bénéficie d'un bonus aux dégâts sur son attaque de +2 (s'il a choisi un DD 15) et de +4 (s'il a choisi un DD 25). S'il rate le test de 1 à 4 points, son attaque échoue systématiquement (sans jet de dé). S'il rate de 5 points ou plus, son attaque échoue et il tombe à terre dans une case adjacente à sa cible.
Plumes du faucon. Pour utiliser cette manœuvre, le personnage doit porter une cape. Par une action simple, il peut faire tourner sa cape autour de lui pour distraire ses adversaires. Il doit pour cela effectuer une tentative de feinte en combat en utilisant son bonus de base à l'attaque de son modificateur de Bluff. S'il réussit ce test, la cible est considérée comme prise au dépourvu par la prochaine attaque du personnage.
Yeux de l'épervier. Pour utiliser cette manœuvre, le personnage doit passer entre 1 et 3 rounds entiers à observer un adversaire (il ne peut rien faire d'autre pendant ce temps). La prochaine attaque au corps à corps du personnage contre l'ennemi qu'il a observé bénéficie d'un bonus de +2 sur les jets d'attaque et de dégâts pour chaque round d'observation (soit +4 pour 2 rounds et +6 au maximum pour 3 rounds). Le personnage perd les avantages de sa manœuvre si son ennemi l'attaque pendant un round d'observation, ou n'attaque pas pendant les 3 rounds qui suivent la fin de l'observation.","","https://gemmaline.com/dons/dons-ecole-du-rapace-1744.htm"
